VehicleMake,VehicleModel,Total,PASS,PASS %,FAIL,FAIL %,Vehicle and Safety Equipment,Vehicle and Safety Equipment %,Lighting and Electrical,Lighting and Electrical %,Steering and Suspension,Steering and Suspension %,Braking Equipment,Braking Equipment %,Wheels and Tyres,Wheels and Tyres %,"Engine, Noise and Exhaust","Engine, Noise and Exhaust %",Chassis and Body,Chassis and Body %,Side Slip Test,Side Slip Test %,Suspension Test,Suspension Test %,Light test,Light test %,Brake Test,Brake Test %,Emmissions,Emmissions %,OTHER,OTHER %,Incompletable,Incompletable %
KIA,CARNIVAL,161.0,66.0,40.9938,95.0,59.0062,26.0,16.1491,36.0,22.3602,40.0,24.8447,10.0,6.2112,12.0,7.4534,8.0,4.9689,8.0,4.9689,30.0,18.6335,10.0,6.2112,5.0,3.1056,19.0,11.8012,12.0,7.4534,0.0,0.0,1.0,0.6211
KIA,CEED,4513.0,2781.0,61.622,1732.0,38.378,298.0,6.6031,772.0,17.1061,284.0,6.2929,138.0,3.0578,358.0,7.9326,33.0,0.7312,30.0,0.6647,216.0,4.7862,70.0,1.5511,338.0,7.4895,235.0,5.2072,130.0,2.8806,8.0,0.1773,2.0,0.0443
KIA,CERATO,641.0,273.0,42.5897,368.0,57.4103,54.0,8.4243,109.0,17.0047,122.0,19.0328,153.0,23.869,60.0,9.3604,41.0,6.3963,17.0,2.6521,26.0,4.0562,30.0,4.6802,34.0,5.3042,171.0,26.6771,53.0,8.2683,3.0,0.468,0.0,0.0
KIA,MAGENTIS,203.0,74.0,36.4532,129.0,63.5468,17.0,8.3744,56.0,27.5862,45.0,22.1675,25.0,12.3153,33.0,16.2562,17.0,8.3744,6.0,2.9557,34.0,16.7488,4.0,1.9704,16.0,7.8818,28.0,13.7931,5.0,2.4631,1.0,0.4926,1.0,0.4926
KIA,MENTOR,15.0,2.0,13.3333,13.0,86.6667,4.0,26.6667,7.0,46.6667,2.0,13.3333,3.0,20.0,3.0,20.0,3.0,20.0,4.0,26.6667,1.0,6.6667,0.0,0.0,3.0,20.0,5.0,33.3333,1.0,6.6667,0.0,0.0,0.0,0.0
KIA,OPTIMA,215.0,174.0,80.9302,41.0,19.0698,13.0,6.0465,7.0,3.2558,3.0,1.3953,3.0,1.3953,6.0,2.7907,1.0,0.4651,1.0,0.4651,3.0,1.3953,0.0,0.0,4.0,1.8605,10.0,4.6512,2.0,0.9302,0.0,0.0,0.0,0.0
KIA,OTHER,6.0,3.0,50.0,3.0,50.0,2.0,33.3333,1.0,16.6667,3.0,50.0,2.0,33.3333,0.0,0.0,2.0,33.3333,2.0,33.3333,2.0,33.3333,0.0,0.0,1.0,16.6667,3.0,50.0,1.0,16.6667,0.0,0.0,0.0,0.0
KIA,PICANTO,1845.0,1038.0,56.2602,807.0,43.7398,179.0,9.7019,327.0,17.7236,58.0,3.1436,103.0,5.5827,163.0,8.8347,52.0,2.8184,97.0,5.2575,53.0,2.8726,31.0,1.6802,67.0,3.6314,228.0,12.3577,54.0,2.9268,7.0,0.3794,0.0,0.0
KIA,PRO_CEED,962.0,551.0,57.2765,411.0,42.7235,78.0,8.1081,154.0,16.0083,43.0,4.4699,33.0,3.4304,84.0,8.7318,8.0,0.8316,8.0,0.8316,31.0,3.2225,17.0,1.7672,134.0,13.9293,51.0,5.3015,26.0,2.7027,2.0,0.2079,1.0,0.104
KIA,RIO,4538.0,2567.0,56.5668,1971.0,43.4332,369.0,8.1313,763.0,16.8136,499.0,10.996,305.0,6.721,595.0,13.1115,246.0,5.4209,132.0,2.9088,446.0,9.8281,46.0,1.0137,161.0,3.5478,424.0,9.3433,79.0,1.7409,12.0,0.2644,1.0,0.022
KIA,SEDONA,261.0,86.0,32.9502,175.0,67.0498,37.0,14.1762,56.0,21.4559,54.0,20.6897,28.0,10.728,55.0,21.0728,21.0,8.046,32.0,12.2605,43.0,16.4751,15.0,5.7471,24.0,9.1954,80.0,30.6513,25.0,9.5785,1.0,0.3831,5.0,1.9157
KIA,SHUMA,22.0,5.0,22.7273,17.0,77.2727,2.0,9.0909,6.0,27.2727,7.0,31.8182,7.0,31.8182,6.0,27.2727,4.0,18.1818,6.0,27.2727,3.0,13.6364,1.0,4.5455,5.0,22.7273,10.0,45.4545,0.0,0.0,0.0,0.0,0.0,0.0
KIA,SORENTO,1299.0,432.0,33.2564,867.0,66.7436,228.0,17.552,307.0,23.6336,371.0,28.5604,251.0,19.3226,183.0,14.0878,94.0,7.2363,171.0,13.164,135.0,10.3926,88.0,6.7744,112.0,8.622,322.0,24.7883,53.0,4.0801,11.0,0.8468,2.0,0.154
KIA,SOUL,306.0,219.0,71.5686,87.0,28.4314,15.0,4.902,26.0,8.4967,14.0,4.5752,1.0,0.3268,32.0,10.4575,1.0,0.3268,3.0,0.9804,13.0,4.2484,3.0,0.9804,12.0,3.9216,4.0,1.3072,0.0,0.0,0.0,0.0,0.0,0.0
KIA,SPORTAGE,3020.0,1903.0,63.0132,1117.0,36.9868,253.0,8.3775,340.0,11.2583,332.0,10.9934,119.0,3.9404,170.0,5.6291,68.0,2.2517,68.0,2.2517,284.0,9.404,80.0,2.649,173.0,5.7285,225.0,7.4503,57.0,1.8874,3.0,0.0993,4.0,0.1325
KIA,VENGA,386.0,300.0,77.7202,86.0,22.2798,20.0,5.1813,49.0,12.6943,10.0,2.5907,0.0,0.0,11.0,2.8497,1.0,0.2591,1.0,0.2591,3.0,0.7772,9.0,2.3316,9.0,2.3316,3.0,0.7772,4.0,1.0363,1.0,0.2591,0.0,0.0
LANCIA,OTHER,28.0,12.0,42.8571,16.0,57.1429,6.0,21.4286,6.0,21.4286,3.0,10.7143,4.0,14.2857,3.0,10.7143,2.0,7.1429,3.0,10.7143,2.0,7.1429,1.0,3.5714,2.0,7.1429,6.0,21.4286,2.0,7.1429,0.0,0.0,0.0,0.0
LANCIA,THEMA,6.0,5.0,83.3333,1.0,16.6667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.6667,0.0,0.0,0.0,0.0,0.0,0.0
LANDROVER,DEFENDER,118.0,41.0,34.7458,77.0,65.2542,32.0,27.1186,33.0,27.9661,28.0,23.7288,12.0,10.1695,14.0,11.8644,11.0,9.322,18.0,15.2542,12.0,10.1695,13.0,11.0169,13.0,11.0169,14.0,11.8644,11.0,9.322,1.0,0.8475,0.0,0.0
LANDROVER,DEFENDER 110,13.0,4.0,30.7692,9.0,69.2308,5.0,38.4615,4.0,30.7692,4.0,30.7692,1.0,7.6923,0.0,0.0,1.0,7.6923,2.0,15.3846,1.0,7.6923,1.0,7.6923,2.0,15.3846,1.0,7.6923,1.0,7.6923,0.0,0.0,0.0,0.0
LANDROVER,DEFENDER 110 2.5 300 TDI 5DR,17.0,6.0,35.2941,11.0,64.7059,4.0,23.5294,7.0,41.1765,4.0,23.5294,2.0,11.7647,3.0,17.6471,3.0,17.6471,2.0,11.7647,2.0,11.7647,2.0,11.7647,1.0,5.8824,1.0,5.8824,1.0,5.8824,0.0,0.0,0.0,0.0
LANDROVER,DISCOVERY,1292.0,407.0,31.5015,885.0,68.4985,254.0,19.6594,333.0,25.774,432.0,33.4365,199.0,15.4025,165.0,12.7709,125.0,9.6749,88.0,6.8111,369.0,28.5604,27.0,2.0898,95.0,7.3529,185.0,14.3189,59.0,4.5666,14.0,1.0836,7.0,0.5418
LANDROVER,DISCOVERY 4,104.0,75.0,72.1154,29.0,27.8846,7.0,6.7308,5.0,4.8077,7.0,6.7308,4.0,3.8462,2.0,1.9231,1.0,0.9615,0.0,0.0,12.0,11.5385,0.0,0.0,3.0,2.8846,5.0,4.8077,0.0,0.0,1.0,0.9615,1.0,0.9615
LANDROVER,FREELANDER,2305.0,865.0,37.5271,1440.0,62.4729,274.0,11.8872,644.0,27.9393,397.0,17.2234,445.0,19.3059,257.0,11.1497,265.0,11.4967,82.0,3.5575,344.0,14.9241,80.0,3.4707,174.0,7.5488,463.0,20.0868,134.0,5.8134,12.0,0.5206,9.0,0.3905
LANDROVER,FREELANDER 2,702.0,439.0,62.5356,263.0,37.4644,76.0,10.8262,102.0,14.5299,46.0,6.5527,14.0,1.9943,32.0,4.5584,13.0,1.8519,7.0,0.9972,34.0,4.8433,19.0,2.7066,23.0,3.2764,35.0,4.9858,25.0,3.5613,10.0,1.4245,1.0,0.1425
LANDROVER,OTHER,133.0,46.0,34.5865,87.0,65.4135,28.0,21.0526,37.0,27.8195,27.0,20.3008,14.0,10.5263,19.0,14.2857,13.0,9.7744,12.0,9.0226,22.0,16.5414,14.0,10.5263,4.0,3.0075,19.0,14.2857,11.0,8.2707,0.0,0.0,1.0,0.7519
LANDROVER,RANGE ROVER,1567.0,736.0,46.9687,831.0,53.0313,214.0,13.6567,277.0,17.6771,227.0,14.4863,136.0,8.679,173.0,11.0402,110.0,7.0198,27.0,1.723,227.0,14.4863,99.0,6.3178,45.0,2.8717,159.0,10.1468,51.0,3.2546,17.0,1.0849,9.0,0.5743
LEXUS,CT200H,137.0,122.0,89.0511,15.0,10.9489,1.0,0.7299,6.0,4.3796,1.0,0.7299,0.0,0.0,5.0,3.6496,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7299,0.0,0.0,1.0,0.7299,0.0,0.0,0.0,0.0,2.0,1.4599
LEXUS,GS 450H,83.0,55.0,66.2651,28.0,33.7349,2.0,2.4096,10.0,12.0482,7.0,8.4337,1.0,1.2048,2.0,2.4096,0.0,0.0,0.0,0.0,1.0,1.2048,16.0,19.2771,3.0,3.6145,1.0,1.2048,0.0,0.0,0.0,0.0,0.0,0.0
LEXUS,GS300,516.0,287.0,55.6202,229.0,44.3798,36.0,6.9767,133.0,25.7752,39.0,7.5581,12.0,2.3256,60.0,11.6279,4.0,0.7752,9.0,1.7442,30.0,5.814,24.0,4.6512,20.0,3.876,31.0,6.0078,8.0,1.5504,6.0,1.1628,0.0,0.0
LEXUS,GS430,8.0,6.0,75.0,2.0,25.0,0.0,0.0,2.0,25.0,2.0,25.0,1.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.5,1.0,12.5,1.0,12.5,1.0,12.5,1.0,12.5,0.0,0.0,0.0,0.0
LEXUS,GS450,42.0,26.0,61.9048,16.0,38.0952,4.0,9.5238,8.0,19.0476,1.0,2.381,0.0,0.0,3.0,7.1429,0.0,0.0,1.0,2.381,0.0,0.0,2.0,4.7619,1.0,2.381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEXUS,IS200,2158.0,958.0,44.393,1200.0,55.607,348.0,16.126,476.0,22.0575,442.0,20.4819,197.0,9.1288,403.0,18.6747,72.0,3.3364,249.0,11.5385,400.0,18.5357,104.0,4.8193,208.0,9.6386,228.0,10.5653,174.0,8.063,15.0,0.6951,0.0,0.0
LEXUS,IS220,281.0,189.0,67.2598,92.0,32.7402,21.0,7.4733,31.0,11.032,3.0,1.0676,10.0,3.5587,24.0,8.5409,1.0,0.3559,3.0,1.0676,2.0,0.7117,16.0,5.694,9.0,3.2028,17.0,6.0498,6.0,2.1352,3.0,1.0676,1.0,0.3559
LEXUS,IS250,611.0,410.0,67.1031,201.0,32.8969,33.0,5.401,79.0,12.9296,5.0,0.8183,12.0,1.964,74.0,12.1113,2.0,0.3273,5.0,0.8183,6.0,0.982,17.0,2.7823,25.0,4.0917,24.0,3.928,3.0,0.491,4.0,0.6547,0.0,0.0
LEXUS,LS460,55.0,33.0,60.0,22.0,40.0,1.0,1.8182,7.0,12.7273,7.0,12.7273,1.0,1.8182,5.0,9.0909,0.0,0.0,1.0,1.8182,9.0,16.3636,7.0,12.7273,1.0,1.8182,3.0,5.4545,0.0,0.0,0.0,0.0,0.0,0.0
LEXUS,OTHER,2462.0,1478.0,60.0325,984.0,39.9675,211.0,8.5703,422.0,17.1405,88.0,3.5743,95.0,3.8587,249.0,10.1137,21.0,0.853,33.0,1.3404,64.0,2.5995,148.0,6.0114,100.0,4.0617,145.0,5.8895,26.0,1.0561,18.0,0.7311,16.0,0.6499
LEXUS,RX450,263.0,215.0,81.749,48.0,18.251,7.0,2.6616,12.0,4.5627,4.0,1.5209,1.0,0.3802,11.0,4.1825,0.0,0.0,0.0,0.0,2.0,0.7605,5.0,1.9011,3.0,1.1407,1.0,0.3802,0.0,0.0,1.0,0.3802,8.0,3.0418
LEYLAND,MINI,57.0,18.0,31.5789,39.0,68.4211,13.0,22.807,18.0,31.5789,18.0,31.5789,5.0,8.7719,6.0,10.5263,6.0,10.5263,15.0,26.3158,18.0,31.5789,3.0,5.2632,4.0,7.0175,10.0,17.5439,11.0,19.2982,0.0,0.0,0.0,0.0
LINCOLN,TOWNCAR,11.0,1.0,9.0909,10.0,90.9091,4.0,36.3636,3.0,27.2727,0.0,0.0,0.0,0.0,4.0,36.3636,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.1818,1.0,9.0909,3.0,27.2727,2.0,18.1818,6.0,54.5455,0.0,0.0
