VehicleMake,VehicleModel,Total,PASS,PASS %,FAIL,FAIL %,Vehicle and Safety Equipment,Vehicle and Safety Equipment %,Lighting and Electrical,Lighting and Electrical %,Steering and Suspension,Steering and Suspension %,Braking Equipment,Braking Equipment %,Wheels and Tyres,Wheels and Tyres %,"Engine, Noise and Exhaust","Engine, Noise and Exhaust %",Chassis and Body,Chassis and Body %,Side Slip Test,Side Slip Test %,Suspension Test,Suspension Test %,Light test,Light test %,Brake Test,Brake Test %,Emmissions,Emmissions %,OTHER,OTHER %,Incompletable,Incompletable %
OPEL,INSIGNIA,4252,3132,0,1120,0,210,0,249,0,187,0,63,0,325,0,44,0,26,0,54,0,185,0,208,0,71,0,36,0,15,0,2,0
OPEL,KADETT,38,17,11,21,17,5,4,9,9,3,3,5,6,4,3,6,3,12,7,0,0,1,0,1,0,7,9,1,0,0,0,0,0
OPEL,MANTA,25,9,7,16,20,4,6,3,4,2,4,1,1,3,3,0,0,5,6,1,4,1,0,6,8,6,5,1,0,0,0,0,0
OPEL,MERIVA,2640,1079,0,1561,0,240,0,592,0,522,0,539,0,365,0,422,0,45,0,363,0,154,0,182,0,559,0,68,0,9,0,1,0
OPEL,MOKKA,82,74,2,8,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
OPEL,MONZA,7,4,38,3,19,1,4,0,0,1,7,1,7,1,7,1,7,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0
OPEL,MOVANO,2,1,50,1,50,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OPEL,OMEGA,105,28,2,77,6,18,0,31,2,26,2,26,1,21,1,6,0,15,1,26,2,7,0,12,0,26,1,16,0,0,0,0,0
OPEL,OTHER,141,50,3,91,5,24,1,35,1,29,1,7,0,19,0,18,0,19,1,24,1,14,0,11,1,12,0,10,0,0,0,1,0
OPEL,REKORD,1,0,0,1,100,1,100,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OPEL,SENATOR,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OPEL,SIGNUM,63,20,1,43,6,9,3,7,0,20,4,9,3,12,0,3,0,2,0,10,0,8,0,0,0,9,3,14,0,0,0,0,0
OPEL,SPEEDSTER,3,1,33,2,33,2,33,2,33,1,16,1,16,0,0,0,0,0,0,1,16,0,0,2,33,1,16,0,0,0,0,0,0
OPEL,TIGRA,525,224,1,301,1,76,0,127,0,79,0,36,0,62,0,87,0,46,0,56,0,21,0,34,0,39,0,19,0,4,0,0,0
OPEL,VECTRA,7746,2648,0,5098,0,1058,0,1534,0,2551,0,1488,0,1285,0,414,0,338,0,1270,0,1395,0,463,0,1635,0,618,0,27,0,6,0
OPEL,VIVARO,88,46,7,42,7,16,3,21,3,19,4,6,0,12,1,6,2,3,0,17,3,1,0,5,2,9,1,1,0,1,0,0,0
OPEL,ZAFIRA,10948,3893,0,7055,0,1345,0,2647,0,2781,0,1746,0,1934,0,770,0,233,0,1951,0,989,0,1047,0,2304,0,995,0,16,0,4,0
OPEL,ZAFIRA DTI ELEGANCE LHD 5DR,1,0,0,1,100,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0
OTHER,OTHER,4,1,25,3,75,2,50,3,75,0,0,2,50,1,25,1,25,1,25,1,25,0,0,2,50,1,25,1,25,0,0,0,0
PANTHER,KALLISTA N/A,1,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,1,100,0,0,1,100,0,0,0,0
PERODUA,KELISA,2,1,50,1,50,1,50,1,50,1,50,0,0,1,50,0,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0,0,0
PERODUA,MYVI,9,7,33,2,22,0,0,0,0,1,11,0,0,1,11,1,11,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
PERODUA,OTHER,44,36,12,8,3,0,0,5,1,1,0,2,0,4,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
PEUGEOT,1007,71,35,3,36,2,2,0,10,1,16,1,4,0,11,0,2,0,0,0,4,0,5,0,7,0,4,0,1,0,0,0,0,0
PEUGEOT,104,2,0,0,2,50,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,1,25,0,0,0,0
